,Close,Volume,SMA_100,RSI_14,Overbought,Oversold,Below_SMA,High_Volume,CA_Close,CA_Change,PA_CA_Ratio,CA_Volatility,Target
0,8.270000457763672,26566500,9.751999945640565,46.268670525496965,0,0,1,0,47.810001373291016,-0.007885396643430465,0.17297636934714525,0.8001489034989243,0
1,8.270000457763672,32407700,9.746299948692322,55.35719455518638,0,0,1,1,47.86000061035156,0.0010457903288929593,0.17279566131570442,0.796632014195051,0
2,8.489999771118164,34627500,9.739999947547913,70.00003178922472,1,0,1,1,49.189998626708984,0.027789343907149044,0.17259605623941485,0.7972717886082771,1
3,8.100000381469727,22142200,9.730299954414368,49.6644531562525,0,0,1,0,48.790000915527344,-0.008131687789160735,0.16601763123213506,0.7996706093747507,0
4,8.119999885559082,30800200,9.719499955177307,50.331134193031716,0,0,1,1,48.400001525878906,-0.007993428619189058,0.16776858735303404,0.707851545184997,0
5,8.539999961853027,57340900,9.714199957847596,60.317488350266544,0,0,1,1,48.349998474121094,-0.001033120871516413,0.17662875345606677,0.6675285822282717,1
6,8.329999923706055,33159300,9.703999953269959,54.28572855841446,0,0,1,1,47.06999969482422,-0.02647360537109389,0.17697046900241026,0.7848513654309981,0
7,8.329999923706055,16128700,9.687299952507018,45.76271460406815,0,0,1,0,47.66999816894531,0.012746940259425354,0.17474303003823513,0.8132860151042248,0
8,8.489999771118164,31262400,9.671899952888488,56.395338521625156,0,0,1,1,47.11000061035156,-0.011747379486130582,0.18021650730886377,0.7179829513839718,1
9,8.4399995803833,27208600,9.65689995288849,51.807215072209324,0,0,1,0,47.540000915527344,0.009127580123216905,0.17753469533172245,0.7040915575220494,0
10,8.539999961853027,18826700,9.646599955558777,53.75723180644255,0,0,1,0,47.86000061035156,0.0067311671994456646,0.1784371051224256,0.6698727952953247,1
11,8.3100004196167,25524400,9.628699955940247,47.17949294793764,0,0,1,0,48.439998626708984,0.012118637880501382,0.17155244949406714,0.6089534293079683,0
12,8.800000190734863,30890200,9.614799962043762,58.9958317605006,0,0,1,1,50.11000061035156,0.0344756818948746,0.17561365160232809,0.8156776901799984,1
13,8.5600004196167,30050300,9.59489996433258,55.294132166683,0,0,1,1,50.66999816894531,0.011175365231946621,0.1689362685466525,1.0545150311224132,1
14,8.479999542236328,29681500,9.570499958992004,54.022972966060145,0,0,1,1,49.38999938964844,-0.025261472775844007,0.17169466785408968,1.0768359420086842,0
15,8.479999542236328,37676200,9.54759994983673,54.022972966060145,0,0,1,1,50.75,0.0275359511471589,0.16709358700621463,1.2202735664402524,1
16,8.25,22326900,9.523799948692321,45.41984982899375,0,0,1,0,50.779998779296875,0.0005911089516625889,0.16246554148675735,1.340725484382173,0
17,8.680000305175781,28189700,9.504999947547912,60.902254830396544,0,0,1,0,52.41999816894531,0.03229616835510973,0.16558566590454663,1.6564832944144265,0
18,8.760000228881836,33589800,9.479999947547913,61.764711038463574,0,0,1,1,52.689998626708984,0.005150714749998286,0.1662554650889432,1.9068600595724847,0
19,9.069999694824219,31156300,9.459399943351746,60.15325292505836,0,0,1,1,53.630001068115234,0.01784024418117469,0.169121751118618,2.1949997334365423,0
20,9.220000267028809,38146200,9.442599949836731,67.45098581867698,0,0,1,1,53.650001525878906,0.0003729341295046762,0.1718546132913501,2.2856933739532117,0
21,9.350000381469727,38058000,9.424699950218201,69.02985711967615,0,0,1,1,52.27000045776367,-0.025722293175510336,0.1788789037267395,2.224839374427437,1
22,9.119999885559082,42520500,9.40299994945526,61.45454356296069,0,0,1,1,52.52000045776367,0.004782858194195105,0.17364813031859852,2.049521085886494,0
23,9.220000267028809,33217000,9.381499953269959,63.92857799724388,0,0,1,1,51.880001068115234,-0.012185822240483812,0.17771781178543808,1.8157004712384062,0
24,9.680000305175781,39981600,9.365399956703186,68.03797554308872,0,0,0,1,53.4900016784668,0.031033164556757198,0.18096840530223662,1.628432962514908,0
25,9.8100004196167,26117800,9.355899958610534,74.5097929218698,1,0,0,0,54.72999954223633,0.023181862495037286,0.179243568424547,1.549144102293672,1
26,9.720000267028809,26138300,9.344799962043762,67.29322310873243,0,0,0,0,53.459999084472656,-0.023204832238004736,0.1818181898928199,1.4803042956302148,1
27,9.5600004196167,27309600,9.330999970436096,69.37983120715862,0,0,0,0,52.130001068115234,-0.024878377088182857,0.18338768889130325,1.4054709720843124,1
28,9.489999771118164,32457300,9.31619996547699,69.6497976504745,0,0,0,1,52.04999923706055,-0.0015346600693553203,0.18232468604029997,1.1150829244016345,1
29,9.420000076293945,26837900,9.300499968528747,67.80303167136398,0,0,0,0,52.15999984741211,0.0021133643028612425,0.18059816146558774,0.9916323182120497,0
30,9.579999923706055,20720000,9.285799965858459,75.87546876588684,1,0,0,0,52.68000030517578,0.00996933395868238,0.18185269298387413,0.8238372859803631,1
31,9.390000343322754,24265400,9.267599968910217,65.23604658349375,0,0,0,0,51.61000061035156,-0.0203113076808219,0.18194148867380483,0.8819923060652602,0
32,9.550000190734863,26154000,9.250799975395203,66.39003525428075,0,0,0,0,52.06999969482422,0.008912983511579098,0.1834069568825073,0.902306286267304,0
33,9.579999923706055,22938100,9.23469997882843,61.97183035530395,0,0,0,0,52.11000061035156,0.0007682142454730201,0.18384186930837582,0.8778159892259174,0
34,10.210000038146973,54008400,9.221599974632262,68.96550842156341,0,0,0,1,52.209999084472656,0.0019189881586996194,0.1955564109409816,0.832194440640604,0
35,10.630000114440918,62865000,9.211699976921082,72.06895655882805,1,0,0,1,54.220001220703125,0.03849841355059991,0.19605311459162186,0.9419269713572814,0
